"","Group","nSpecies","S","alpha","Variance","Pvalue","FDR","ange","sorgh","NormScore.ange","NormScore.sorgh","ange.count","sorgh.count","ange.count.1","sorgh.count.1"
"9000","TIPRL_XENTR",2,0.657063459808648,4.16443594646272,0.240128558310376,0.736232269030611,1,0.316885894,0.366177029,0.766142350493647,0.547984569123648,2,3,2,3
"9001","TIR1A_ORYSJ",1,1.17190191864338,1.8,0.555555555555556,0.320497952164803,1,0.172414662,NA,1.17190191864338,NA,2,NA,2,NA
"9002","TIR1B_ORYSJ",2,0.557143876133483,8.45069638729636,0.118333443087988,0.923605810435516,1,0.222463083,0.2698685,0.579667149956002,0.534620602310963,7,6,7,6
"9003","TIR1L_ARATH",2,1.10715509738937,2.57142857142857,0.388888888888889,0.354284788000002,1,0.075971222,0.608935406,1.7182671121997,0.496043082579047,2,1,2,1
"9004","TIRC_ORYSJ",2,0.129131941469187,6.1216372352194,0.163354991740892,0.999866576094699,1,0.616837645,0.894094863,0.197203847283985,0.0610600356543895,6,3,6,3
"9005","TKI1_ARATH",2,0.282739529527935,7.68643435216644,0.130099335294283,0.997172046426412,1,0.312001823,0.725910289,0.41172121553757,0.153757843518301,9,4,9,4
"9006","TKPR1_ARATH",2,1.1690969448086,8.48288839031305,0.117884375461304,0.280811078201788,1,0.165927124,0.023671156,0.541314840757837,1.79687904885935,15,4,15,4
"9007","TKTC_MAIZE",2,0.640351415987125,7.23494136976642,0.138218120768584,0.838343158878268,1,0.145863838,0.325840241,0.742455755486838,0.538247076487413,7,4,7,4
"9008","TL15A_ARATH",2,0.463856959128758,4.16443594646272,0.240128558310376,0.888279290003449,1,0.656511116,0.305294435,0.280543768777557,0.647170149479958,2,3,2,3
"9009","TL15B_ARATH",2,0.380251542917549,4.16443594646272,0.240128558310376,0.9364940762,1,0.344002257,0.765162512,0.582058396682046,0.178444689153052,3,2,3,2
"9010","TL16_ARATH",2,0.413628332541563,6.09756097560976,0.164,0.960604988558152,1,0.337953664,0.528028561,0.520726311193938,0.306530353889188,4,4,4,4
"9011","TL17_ARATH",2,0.988991349397712,2.84705882352941,0.351239669421488,0.428395463983659,1,0.099617777,0.486782267,1.25804435257211,0.719938346223313,3,1,3,1
"9012","TL19_ARATH",2,0.122844713587066,2.57142857142857,0.388888888888889,0.988541828753559,1,0.963877944,0.730995313,0.036790606495718,0.208898820678413,1,2,1,2
"9013","TL1Y_ARATH",2,1.48504457139333,4.93877551020408,0.202479338842975,0.13869353103872,1,0.018548041,0.232754198,2.17494060107697,0.795148541709679,3,3,3,3
"9014","TL203_ARATH",2,0.382596641550063,6.93888744032152,0.144115322319404,0.979715395930077,1,0.492611618,0.352721913,0.339856420087177,0.42533686301295,4,6,4,6
"9015","TL29_SOLLC",2,0.507959466092386,4.93877551020408,0.202479338842975,0.883985144609412,1,0.354595901,0.437910119,0.565514424497731,0.450404507687041,3,3,3,3
"9016","TLC1_ARATH",1,0.0973666314704541,1.8,0.555555555555556,0.976788530184663,1,0.864114542,NA,0.0973666314704541,NA,2,NA,2,NA
"9017","TLC1_SOLTU",2,0.449229841517249,4.5271629778672,0.220888888888889,0.909376731674096,1,0.759027758,0.225631797,0.183811286966822,0.714648396067675,2,4,2,4
"9018","TLCD2_DANRE",2,1.93123593065303,2.57142857142857,0.388888888888889,0.0834571499987293,1,0.176644642,0.066754847,1.1557434912002,2.70672837010585,2,1,2,1
"9019","TLDC1_XENLA",2,0.67130259808619,2.84705882352941,0.351239669421488,0.664920357427284,1,0.133254035,0.784081205,1.09936250998296,0.243242686189417,3,1,3,1
"9020","TLDC2_HUMAN",2,0.450283732516624,4.93877551020408,0.202479338842975,0.9202580110436,1,0.375249608,0.511260262,0.53463482896692,0.365932636066328,3,3,3,3
"9021","TLOV1_ARATH",2,0.587391434595542,11.2704850231309,0.0887273261042146,0.93791769625918,1,0.281519963,0.104855786,0.448061555876485,0.7267213133146,9,12,9,12
"9022","TLP_ORYSJ",2,1.23674289102064,4.16443594646272,0.240128558310376,0.27067519877538,1,0.071925857,0.210835643,1.43570152059604,1.03778426144524,3,2,3,2
"9023","TLP1_ORYSJ",2,0.631861523475238,6.09756097560976,0.164,0.81939394882864,1,0.342436374,0.20990779,0.514401315782488,0.749321731167987,4,4,4,4
