"","gene","adr7","adr8","aww7","aww8"
"9746","WAKLG_ARATH",5.353,1.7885,3.6535,5.5345
"9747","WAKLH_ARATH",3.903,0.942,3.078,5.833
"9748","WAKLI_ARATH",3.958,2.83433333333333,5.26533333333333,2.13666666666667
"9749","WAKLL_ARATH",4.308,8.889,2.809,3.093
"9750","WAKLO_ARATH",2.7525,4.2245,3.783,4.2135
"9751","WAP_ARATH",6.2965,4.72275,4.8145,5.13825
"9752","WAP_SOLLC",6.49385714285714,5.17414285714286,6.176,5.10871428571429
"9753","WASH7_DICDI",4.1355,5.384,1.8605,2.63775
"9754","WASH7_HUMAN",4.1285,2.04,2.27,2.4025
"9755","WAT1_SCHPO",5.5235,8.642,4.7575,7.947
"9756","WBC30_ARATH",7.834,5.558,1.783,6.273
"9757","WBP4_CHICK",9.974,10.5375,12.7955,14.3275
"9758","WBS22_MOUSE",6.0985,7.159,7.1465,12.263
"9759","WD66_PHYPO",11.479,6.661,9.401,9.268
"9760","WD82B_XENLA",5.71033333333333,6.06866666666667,8.25066666666667,7.751
"9761","WDL1_ARATH",29.816,24.91,36.257,26.571
"9762","WDR11_HUMAN",6.434,17.488,3.182,4.688
"9763","WDR11_MOUSE",4.916,6.704,7.774,7.095
"9764","WDR12_MOUSE",6.72,2.431,7.027,3.641
"9765","WDR13_PANTR",1.6755,2.351,1.109,2.1135
"9766","WDR20_HUMAN",15.907,19.973,14.718,12.596
"9767","WDR20_MOUSE",4.44,7.79266666666667,4.55733333333333,3.833
"9768","WDR26_XENTR",13.946,12.6685,14.029,13.4765
"9769","WDR3_DICDI",2.32,2.41,9.629,2.985
"9770","WDR36_HUMAN",1.9585,1.545,2.29825,1.00075
"9771","WDR4_DICDI",9.546,15.528,13.153,8.387
"9772","WDR44_BOVIN",5.417,16.567,2.6015,6.0185
"9773","WDR44_HUMAN",4.639,0,6.219,2.271
"9774","WDR44_MOUSE",3.6455,9.51,5.136,4.815
"9775","WDR44_RAT",2.94866666666667,3.46266666666667,4.319,2.476
"9776","WDR48_CHICK",4.778,4.83,2.799,4.424
"9777","WDR48_HUMAN",8.303,8.578,4.83,8.152
"9778","WDR48_MACFA",9.049,9.51,6.8355,9.3125
"9779","WDR48_MOUSE",7.106,4.359,15.786,9.738
"9780","WDR48_XENTR",25.747,17.638,22.72,19.887
"9781","WDR53_BOVIN",11.553,17.734,5.701,6.704
"9782","WDR55_ARATH",3.65166666666667,2.19533333333333,3.45833333333333,3.29833333333333
"9783","WDR5B_ARATH",7.944,4.305,14.148,6.665
"9784","WDR70_XENTR",9.969,6.029,7.2505,6.7725
"9785","WDR74_BOVIN",12.768,5.376,5.369,5.344
"9786","WDR75_DANRE",10.264,5.012,7.919,4.991
"9787","WDR82_DROME",5.30225,3.90625,4.76525,3.0045
"9788","WDR83_HUMAN",8.791,1.938,7.266,3.386
"9789","WDR83_XENLA",13.605,3.352,10.417,11.304
"9790","WDR83_XENTR",0,1.97,0,3.504
"9791","WDR89_DICDI",7.152,5.794,8.893,6.547
"9792","WDR89_MOUSE",7.134,0.653,0,0.9
"9793","WDR91_DANRE",2.08,0,3.825,6.078
"9794","WDR91_DICDI",5.081,5.215,2.498,1.468
"9795","WDTC1_MOUSE",8.2575,5.5635,9.2145,8.309
"9796","WEB1_ARATH",7.94346666666667,6.68593333333333,7.31626666666667,5.9542
"9797","WEE1_ORYSJ",3.535,0,0.871,1.537
"9798","WEL1_ARATH",9.739,10.056,4.084,3.005
"9799","WEX_ARATH",5.17033333333333,3.74433333333333,6.92366666666667,4.58333333333333
"9800","WHI4_YEAST",1.519,3.545,7.235,0.979
"9801","WHY1_MAIZE",6.12825,3.2155,4.82975,4.63425
"9802","WHY2_ARATH",2.347,1.799,1.731,4.57
"9803","WIT1_ARATH",6.094,5.5174,5.8602,5.8898
"9804","WLI2A_ARATH",6.4732,4.5664,6.8202,8.5108
"9805","WLI2B_ARATH",6.913,14.254,6.644,5.51
"9806","WLIM1_ARATH",3.636,11.362,4.872,2.339
